Kod,Razem,0 – 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 lat i więcej
C38.2          ,11,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,3,2,-,1,-
C38.3          ,66,-,-,-,-,1,4,1,2,3,2,1,5,10,9,6,7,7,6,1,1
C38.4          ,42,-,-,-,-,-,-,-,-,1,2,2,1,4,8,9,3,8,3,-,1
C38.8          ,67,-,-,-,-,-,1,-,-,1,-,2,7,7,8,13,12,6,6,4,-
C39.0          ,8,-,-,-,-,-,1,-,-,-,-,-,1,-,1,2,1,1,-,1,-
C39.8          ,43,-,-,-,-,-,-,-,-,1,-,-,3,7,13,9,5,-,5,-,-
C39.9          ,54,-,-,-,-,-,-,-,-,1,1,1,3,9,12,9,8,4,4,2,-
C40.0          ,8,-,1,1,-,-,-,-,-,-,-,-,-,-,3,1,1,-,1,-,-
C40.1          ,4,-,-,-,-,1,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-
C40.2          ,28,-,-,2,5,1,1,4,2,1,-,-,-,1,2,2,2,2,3,-,-
C40.3          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-
C40.8          ,14,-,-,-,-,1,-,1,1,1,-,-,-,1,1,4,1,-,2,-,1
C40.9          ,23,-,-,-,-,-,3,-,1,1,-,3,2,2,4,2,1,3,1,-,-
C41.0          ,19,-,-,-,-,-,-,1,1,-,2,1,1,1,1,3,2,2,4,-,-
C41.1          ,22,-,-,-,-,1,-,-,1,-,1,-,2,3,4,4,2,3,1,-,-
C41.2          ,36,-,1,-,-,1,1,3,-,1,-,1,1,-,8,7,4,5,2,1,-
C41.3          ,7,-,-,-,-,-,1,-,-,2,-,-,-,1,-,1,-,1,-,1,-
C41.4          ,18,-,-,-,2,1,-,-,1,1,1,-,2,2,3,2,-,2,1,-,-
C41.8          ,29,-,-,-,-,1,-,1,-,2,-,2,1,3,3,4,2,8,2,-,-
C41.9          ,34,-,-,1,-,-,1,1,1,-,-,3,1,5,5,7,2,6,1,-,-
C43.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C43.1          ,22,-,-,-,-,-,-,-,1,2,-,-,-,4,1,1,3,2,6,2,-
C43.2          ,20,-,-,-,-,-,-,-,-,-,1,-,2,1,2,1,2,3,5,3,-
C43.3          ,95,-,-,-,-,-,1,-,1,-,1,3,8,11,7,3,10,16,18,12,4
C43.4          ,28,-,-,-,-,-,-,1,-,2,1,1,-,4,3,8,1,2,5,-,-
C43.5          ,293,-,1,-,-,-,5,2,7,7,8,8,28,31,27,42,33,41,35,11,7
C43.6          ,69,-,-,-,-,-,1,1,4,2,1,3,3,6,6,9,12,9,8,4,-
C43.7          ,117,-,-,-,-,-,1,-,-,1,2,5,4,7,16,15,15,15,18,14,4
C43.8          ,294,-,-,-,-,1,-,1,4,13,11,15,26,29,42,38,27,36,29,18,4
C43.9          ,525,-,-,-,-,-,3,5,5,14,13,35,28,48,69,66,53,74,73,28,11
C44.2          ,5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,3,-,-
C44.3          ,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,8,3,-
C44.4          ,11,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,2,-,3,1,3
C44.5          ,5,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,3,-,-,-
C44.6          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-
C44.7          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
C44.8          ,9,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1,1,1,2,1
C44.9          ,27,-,-,-,-,-,-,-,2,-,-,1,-,-,1,1,4,5,4,5,4
C45.0          ,235,-,-,-,-,-,-,-,-,2,2,6,15,33,57,46,26,35,11,2,-
C45.1          ,24,-,-,-,-,-,-,1,-,1,2,1,4,4,6,-,-,5,-,-,-
C45.2          ,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
C45.7          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
C45.9          ,32,-,-,-,-,-,-,-,-,-,1,1,3,5,9,6,2,4,1,-,-
C46.0          ,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,1,-
C46.1          ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-
C46.8          ,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
C46.9          ,6,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,1,-,1,-
C47.0          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-
C47.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C47.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C47.5          ,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
C47.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C47.9          ,6,1,2,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-
C48.0          ,95,2,-,-,2,1,1,1,-,5,3,5,4,14,15,16,8,11,5,2,-
C48.1          ,15,-,-,-,-,-,-,-,-,-,-,-,1,2,4,3,3,2,-,-,-
C48.2          ,31,-,-,-,-,-,1,-,-,-,3,3,-,5,4,9,2,2,1,1,-
C48.8          ,54,-,-,-,-,1,-,-,1,-,2,1,9,6,10,12,5,6,1,-,-
C49.0          ,62,2,-,-,-,-,-,1,1,4,3,1,4,4,9,12,1,7,9,4,-
C49.1          ,37,-,-,-,1,-,1,-,-,1,1,-,2,3,5,2,9,2,7,3,-
C49.2          ,104,-,1,1,1,-,1,1,4,2,5,10,5,9,15,14,12,10,11,1,1
C49.3          ,29,-,-,-,-,2,-,-,1,1,1,2,1,7,5,4,2,1,1,1,-
C49.4          ,37,-,-,-,1,-,-,2,-,2,1,1,5,3,4,8,5,3,1,1,-
C49.5          ,32,-,1,-,3,1,-,1,-,1,1,2,3,3,4,4,3,2,3,-,-
C49.6          ,21,-,-,1,-,-,-,-,-,-,-,2,5,4,-,2,3,-,2,-,2
C49.8          ,74,-,-,-,3,1,1,3,4,9,4,7,5,10,8,9,3,2,3,1,1
C49.9          ,144,-,-,-,2,3,4,1,4,4,10,5,12,21,16,20,14,11,11,6,-
C50.0          ,870,-,-,-,-,-,1,5,27,23,35,56,74,99,133,109,99,88,72,41,8
C50.1          ,89,-,-,-,-,-,-,1,2,1,2,3,5,12,13,12,7,13,13,5,-
C50.2          ,41,-,-,-,-,-,-,-,1,-,2,2,5,6,5,7,5,3,2,2,1
C50.3          ,29,-,-,-,-,-,-,-,2,-,2,-,4,2,3,4,2,6,3,1,-
C50.4          ,184,-,-,-,-,-,-,1,-,4,6,7,12,21,31,22,22,22,20,13,3
C50.5          ,31,-,-,-,-,-,-,-,-,-,2,1,2,4,6,3,3,5,3,1,1
C50.6          ,5,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,1,1,-,-,-
C50.8          ,1749,-,-,-,-,-,3,11,30,52,81,115,149,260,237,219,188,177,146,70,11
C50.9          ,4036,-,-,-,-,-,4,14,47,84,140,204,294,429,512,494,455,527,497,264,71
C51.0          ,19,-,-,-,-,-,-,-,-,-,-,-,-,2,4,1,7,-,5,-,-
C51.1          ,28,-,-,-,-,-,-,-,-,-,-,-,2,1,3,6,2,7,3,4,-
C51.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C51.8          ,100,-,-,-,-,-,-,-,-,-,1,2,3,16,16,17,11,16,10,7,1
C51.9          ,223,-,-,-,-,-,-,-,-,1,1,4,7,10,26,39,30,40,35,24,6
C52            ,60,-,-,-,-,-,-,-,-,-,-,-,1,5,11,8,9,10,10,5,1
C53.0          ,37,-,-,-,-,-,-,-,-,2,3,1,5,5,6,5,-,3,5,1,1
C53.1          ,40,-,-,-,-,-,-,-,2,3,1,3,2,12,7,3,-,4,2,-,1
C53.8          ,639,-,-,-,-,1,1,10,20,22,33,56,64,101,113,82,49,36,35,13,3
C53.9          ,853,-,-,-,-,2,-,9,10,28,35,57,91,118,159,100,84,77,56,23,4
C54.0          ,12,-,-,-,-,-,-,-,-,-,-,2,2,2,-,3,2,-,-,-,1
C54.1          ,370,-,-,-,-,-,-,-,-,2,1,3,8,17,55,48,46,75,78,29,8
C54.2          ,40,-,-,-,-,-,-,-,-,-,2,4,1,2,4,6,8,7,5,1,-
C54.3          ,25,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,2,12,2,4,1
C54.8          ,584,-,-,-,-,-,-,-,1,2,9,17,25,90,110,110,79,62,57,18,4
C54.9          ,828,-,-,-,-,-,-,2,2,-,9,16,44,83,142,152,131,125,87,31,4
C55            ,149,-,-,-,-,-,-,-,-,1,3,7,15,15,15,17,17,29,21,6,3
C56            ,2777,-,-,-,1,2,4,12,24,54,94,153,278,425,473,418,323,272,184,56,4
C57.0          ,8,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,-,-,3,-,-
C57.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C57.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C57.4          ,15,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,5,3,1,1,-
C57.8          ,84,-,-,-,-,-,-,-,-,1,1,4,6,8,20,12,7,8,12,5,-
C57.9          ,112,-,-,-,-,-,-,-,-,1,2,11,8,15,14,18,8,11,17,6,1
C60.0          ,3,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-
C60.1          ,8,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,1,1,3,-,-
C60.2          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
C60.8          ,34,-,-,-,-,-,-,-,1,-,-,3,3,6,6,4,3,2,4,2,-
C60.9          ,79,-,-,-,-,-,-,-,-,-,2,5,9,8,11,8,14,11,7,4,-
C61            ,5618,-,-,-,-,-,-,-,1,2,13,30,134,435,740,926,980,1102,857,331,67
C62.0          ,6,-,-,-,-,1,1,1,1,-,-,-,-,1,-,-,-,1,-,-,-
C62.1          ,29,-,-,-,-,1,4,5,7,6,-,-,1,2,2,-,1,-,-,-,-
C62.9          ,118,-,-,-,1,7,13,19,10,11,10,11,5,13,8,4,-,3,2,1,-
C63.2          ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-
C63.8          ,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,-,-,-
C63.9          ,9,-,-,-,-,1,-,-,-,-,-,-,-,1,-,2,2,1,2,-,-
C64            ,2451,1,2,-,-,-,1,3,6,26,26,96,153,329,419,419,335,318,224,82,11
C65            ,168,-,-,-,-,-,-,-,-,1,-,1,8,28,22,34,20,30,22,2,-
C66            ,89,-,-,-,-,-,-,-,-,-,1,3,3,8,16,12,15,19,11,1,-
C67.0          ,85,-,-,-,-,-,-,1,-,-,1,2,4,7,15,17,15,12,9,2,-
C67.1          ,15,-,-,-,-,-,-,-,-,-,-,-,-,3,3,2,4,2,1,-,-
C67.2          ,125,-,-,-,-,-,-,-,-,-,-,1,2,9,25,23,13,16,25,6,5
C67.3          ,25,-,-,-,-,-,-,-,-,-,-,-,1,3,7,6,-,5,2,1,-
C67.4          ,29,-,-,-,-,-,-,-,-,-,1,1,1,1,9,5,8,1,2,-,-
C67.5          ,15,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,4,4,2,-,-
C67.6          ,11,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,2,3,-,1,-
C67.7          ,4,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,1,-,-,-,-
C67.8          ,1389,1,-,-,-,-,-,3,3,7,11,19,64,145,264,253,170,226,162,54,7
C67.9          ,2450,-,-,-,-,-,1,1,1,3,9,42,91,237,366,379,373,452,333,131,31
C68.0          ,10,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,2,1,-,1
C68.8          ,27,-,-,-,-,-,-,-,-,-,-,-,3,2,7,1,5,7,2,-,-
C68.9          ,31,-,-,-,-,-,-,1,-,-,1,1,1,2,6,7,3,6,3,-,-
C69.0          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-
C69.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
C69.3          ,31,-,-,-,-,-,-,-,-,-,-,2,3,5,4,2,6,4,3,2,-
C69.4          ,8,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,1,4,-,-
C69.6          ,7,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,1,-,-,1,1
C69.8          ,15,-,-,-,-,-,-,-,-,-,-,-,1,2,3,4,3,2,-,-,-
C69.9          ,42,-,-,-,-,1,1,-,-,-,-,2,2,5,7,8,2,4,9,1,-
C70.0          ,25,-,-,-,-,-,-,-,-,-,-,-,2,3,4,4,6,3,2,1,-
C70.1          ,4,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2,-,-,-
C70.9          ,28,-,-,-,-,-,-,-,1,1,1,1,1,4,2,3,4,2,5,3,-
C71.0          ,81,-,1,2,1,1,-,2,1,-,4,6,7,12,11,13,7,7,4,2,-
C71.1          ,443,2,4,4,1,-,3,7,13,15,23,24,49,66,80,67,37,29,11,8,-
C71.2          ,201,-,1,-,-,1,-,2,4,5,8,12,12,34,50,22,22,16,9,3,-
C71.3          ,158,-,-,2,-,1,1,-,3,5,6,8,19,19,31,25,19,9,8,2,-
C71.4          ,43,-,-,-,-,-,-,-,2,2,3,3,7,7,4,8,3,1,2,1,-
C71.5          ,17,1,1,-,1,-,-,1,1,-,1,1,3,2,1,1,3,-,-,-,-
C71.6          ,64,3,4,-,-,3,3,-,3,2,1,4,1,5,7,13,2,8,4,1,-
C71.7          ,47,-,13,4,-,-,4,1,-,-,1,1,4,5,4,2,2,1,4,-,1
C71.8          ,221,-,-,2,1,3,2,3,3,9,8,10,20,33,35,36,15,20,15,6,-
C71.9          ,1511,6,4,2,3,3,11,35,28,56,65,95,141,198,239,217,167,135,79,23,4
C72.0          ,28,-,-,-,-,1,-,2,-,1,1,2,2,3,2,4,2,3,5,-,-
C72.1          ,3,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-
C72.2          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
C72.8          ,5,-,-,-,-,-,2,-,-,-,-,1,-,1,-,-,1,-,-,-,-
C72.9          ,29,-,-,-,-,-,-,-,-,1,2,1,4,3,4,6,5,1,2,-,-
C73            ,251,-,-,-,-,1,-,-,6,1,6,5,8,30,36,42,37,40,29,9,1
C74.0          ,9,-,-,-,-,1,1,-,-,1,-,-,1,-,3,1,-,1,-,-,-
C74.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
C74.9          ,49,1,-,-,-,-,1,1,1,-,1,2,7,6,4,11,2,4,4,3,1
C75.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C75.1          ,7,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,3,1,-
C75.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C75.3          ,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C75.5          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C75.8          ,7,-,-,-,-,-,-,-,-,1,-,-,-,1,2,2,-,1,-,-,-
C75.9          ,31,1,-,-,-,-,-,-,-,1,2,-,1,6,7,3,5,4,1,-,-
C76.0          ,29,-,-,-,-,-,-,-,-,1,-,-,3,5,1,4,4,3,4,3,1
C76.1          ,17,-,1,-,-,-,-,-,-,-,-,-,-,-,3,1,1,7,2,1,1
C76.2          ,47,-,-,-,-,-,-,-,1,1,1,2,4,7,9,4,5,5,5,1,2
C76.3          ,19,-,-,-,-,-,-,-,-,-,1,2,-,-,4,2,3,4,3,-,-
C76.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C76.7          ,424,-,-,-,-,-,-,-,1,3,5,13,32,54,68,64,44,56,58,22,4
C76.8          ,282,-,-,-,-,-,-,-,3,1,9,18,22,35,53,45,33,26,21,12,4
C77.0          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
C80            ,3358,-,-,-,-,-,1,3,5,8,10,45,215,359,552,501,432,525,467,199,36
C81.0          ,21,-,-,-,-,-,-,-,-,1,1,1,2,6,5,2,1,2,-,-,-
C81.1          ,35,-,-,-,1,1,3,2,2,3,3,2,2,9,3,1,2,1,-,-,-
C81.2          ,22,-,-,-,-,-,2,1,2,-,3,-,1,1,5,5,1,-,1,-,-
C81.3          ,3,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-
C81.7          ,9,-,-,-,-,-,2,1,-,-,-,-,-,-,3,1,2,-,-,-,-
C81.9          ,83,-,-,-,-,3,5,1,4,2,7,3,6,14,7,11,8,7,3,2,-
C82.0          ,13,-,-,-,-,-,-,-,-,-,-,-,1,-,3,4,2,-,2,1,-
C82.1          ,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
C82.3          ,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-
C82.7          ,25,-,-,-,-,-,-,3,-,-,-,3,1,4,2,4,-,3,3,1,1
C82.9          ,104,-,-,-,-,-,-,-,1,3,2,1,4,15,16,14,10,18,18,2,-
C83.0          ,34,-,-,-,-,-,-,-,-,-,-,1,2,1,5,3,5,7,7,3,-
C83.1          ,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,-,-
C83.2          ,12,-,-,-,-,-,-,-,-,-,-,-,1,-,3,5,1,1,-,1,-
C83.3          ,67,-,-,-,-,-,-,-,-,-,1,2,2,6,10,8,11,8,15,4,-
C83.4          ,12,-,-,-,-,-,-,1,-,-,-,-,-,2,2,1,2,2,2,-,-
C83.5          ,39,-,-,-,-,-,-,-,1,-,2,-,5,9,4,7,3,6,2,-,-
C83.6          ,4,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-
C83.7          ,16,-,1,-,-,-,1,-,-,-,1,2,-,1,2,2,1,1,3,1,-
C83.8          ,77,-,-,-,-,-,-,-,-,1,-,2,4,6,17,15,14,7,9,-,2
C83.9          ,241,-,-,2,-,-,1,-,-,6,3,7,12,29,33,36,30,43,27,11,1
C84.0          ,23,-,-,-,-,-,-,-,-,-,1,-,-,5,5,2,1,5,3,1,-
C84.1          ,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-
C84.2          ,19,-,-,-,-,-,-,2,1,-,1,1,1,3,4,3,-,1,1,1,-
C84.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C84.4          ,48,-,-,-,-,-,-,-,-,2,1,1,3,8,14,5,2,6,5,1,-
C84.5          ,48,-,-,-,-,-,1,-,1,3,2,2,1,6,7,8,3,6,7,-,1
C85.0          ,9,-,-,-,-,-,-,-,1,1,-,-,-,1,1,2,2,1,-,-,-
C85.1          ,156,-,-,-,-,1,-,-,1,-,2,7,8,15,28,25,23,19,22,4,1
C85.7          ,358,1,-,-,1,2,1,5,11,9,4,13,27,59,67,57,40,36,19,5,1
C85.9          ,481,-,-,-,-,1,9,6,8,9,6,25,30,45,73,74,64,67,48,15,1
C88.0          ,30,-,-,-,-,-,-,-,-,-,-,1,-,2,5,4,4,8,3,3,-
C88.7          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
C88.9          ,18,-,-,-,-,-,-,-,1,-,-,-,3,2,3,2,2,2,2,-,1
C90.0          ,1371,-,-,-,-,-,-,-,2,7,21,27,79,156,219,256,235,222,109,33,5
C90.1          ,17,-,-,-,-,-,-,-,-,-,-,-,2,1,3,5,2,2,2,-,-
C90.2          ,22,-,-,-,-,-,-,-,-,-,-,1,1,-,4,6,5,2,2,1,-
C91.0          ,180,12,4,13,11,6,5,3,5,8,5,8,8,13,18,15,18,10,11,7,-
C91.1          ,937,-,-,-,1,-,-,1,1,-,5,12,27,67,135,154,144,166,138,73,13
C91.2          ,5,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,-,1
C91.3          ,6,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,1,1,-,1,-
C91.4          ,20,-,-,-,-,-,-,-,1,-,-,1,1,5,3,3,4,1,1,-,-
C91.5          ,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,-,1,-,-
C91.7          ,24,-,1,-,-,1,-,-,-,1,-,1,-,2,2,3,3,3,6,1,-
C91.9          ,165,-,1,1,-,-,-,1,-,-,1,4,10,8,13,32,17,35,33,9,-
C92.0          ,1009,8,1,3,1,7,7,9,19,17,17,29,57,123,165,163,166,123,73,20,1
C92.1          ,147,-,-,-,-,-,1,-,1,2,1,5,8,11,22,20,24,23,21,6,2
C92.2          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
C92.3          ,2,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C92.4          ,9,-,-,-,-,-,-,-,-,-,-,-,1,3,-,2,2,-,1,-,-
C92.5          ,6,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-
C92.7          ,10,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,2,1,-,-,-
C92.9          ,86,-,-,-,-,-,1,-,-,-,2,1,2,8,13,9,18,17,5,9,1
C93.0          ,16,1,-,-,-,-,-,-,-,-,-,-,2,1,-,3,1,4,2,2,-
C93.1          ,61,-,-,-,-,-,-,-,-,-,1,2,3,8,7,12,13,9,5,1,-
C93.7          ,4,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-
C93.9          ,26,-,-,-,-,-,-,-,-,-,-,2,-,2,7,4,5,2,4,-,-
C94.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C94.1          ,14,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,2,1,4,-,-
C94.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C94.5          ,10,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,-,5,-,-,-
C94.7          ,12,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,1,4,1,-,-
C95.0          ,37,-,-,-,-,-,-,-,1,1,-,1,-,3,5,7,2,7,6,2,2
C95.1          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-
C95.2          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-
C95.7          ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-
C95.9          ,54,1,-,-,-,-,-,-,1,-,1,2,4,3,2,7,9,8,11,5,-
C96.0          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-
C96.2          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-
C96.7          ,25,-,-,-,-,-,-,1,-,1,2,1,-,4,3,3,4,3,1,2,-
C96.8          ,3,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-
C96.9          ,73,-,-,-,-,-,-,-,2,3,-,3,2,7,9,13,5,11,12,6,-
C97            ,75,-,-,-,-,-,-,-,3,1,-,1,2,16,14,14,8,10,5,1,-
D04.7          ,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
D10.4          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
D10.6          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D10.9          ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-
D11.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D12.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D12.2          ,7,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,1,1,1,-
D12.3          ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1,-
D12.4          ,3,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-
D12.5          ,8,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2,-,1,-,3,-
D12.6          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-
D12.7          ,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,-,-
D12.8          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,1,-
D12.9          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
D13.0          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
D13.1          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-
D13.2          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-
D13.4          ,6,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,1,-,-
D13.5          ,5,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,1,-,1,-
D13.6          ,30,-,-,-,-,-,-,-,-,-,1,-,-,1,5,8,3,7,2,2,1
D13.9          ,8,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,2,2,1,-
D14.1          ,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-
D14.3          ,10,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,3,1,1,-
D14.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
D15.1          ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-
D15.7          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D15.9          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,-,-,-
D16.5          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
D16.6          ,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D16.8          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
D16.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D18.0          ,3,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-
D18.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
D19.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D20.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
D21.0          ,5,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,1,1,-,-
D21.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D21.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
